comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
"jika dunia isi  pngghuninya baik dan punya rasa prikmanusiaan,.bangunlah belalah mreka yg brada di posisi yg bnar di,.jangan takut mati jika dmi untuk pradaban kmanusiaan",jika dunia isi  pngghuninya baik dan punya rasa prikmanusiaanbangunlah belalah mreka yg brada di posisi yg bnar dijangan takut mati jika dmi untuk pradaban kmanusiaan,jika dunia isi  pngghuninya baik dan punya rasa prikmanusiaanbangunlah belalah mreka yg brada di posisi yg bnar dijangan takut mati jika dmi untuk pradaban kmanusiaan,jika dunia isi pngghuninya baik dan punya rasa prikmanusiaanbangunlah belalah mereka yang brada di posisi yang bnar dijangan takut mati jika dmi untuk pradaban kmanusiaan,"['jika', 'dunia', 'isi', 'pngghuninya', 'baik', 'dan', 'punya', 'rasa', 'prikmanusiaanbangunlah', 'belalah', 'mereka', 'yang', 'brada', 'di', 'posisi', 'yang', 'bnar', 'dijangan', 'takut', 'mati', 'jika', 'dmi', 'untuk', 'pradaban', 'kmanusiaan']",dunia isi pngghuninya prikmanusiaanbangunlah belalah brada posisi bnar dijangan takut mati dmi pradaban kmanusiaan
dasar iblis trlau banyak mnghayal,dasar iblis trlau banyak mnghayal,dasar iblis trlau banyak mnghayal,dasar iblis trlau banyak mnghayal,"['dasar', 'iblis', 'trlau', 'banyak', 'mnghayal']",dasar iblis trlau mnghayal
Jangan maudamai sama Donal bebek itu pembohong di dunia ini. Dia ingin negara Islam tunduk dengan Donal bebek. Donal bebek pembohong?.............,Jangan maudamai sama Donal bebek itu pembohong di dunia ini Dia ingin negara Islam tunduk dengan Donal bebek Donal bebek pembohong,jangan maudamai sama donal bebek itu pembohong di dunia ini dia ingin negara islam tunduk dengan donal bebek donal bebek pembohong,jangan maudamai sama donal bebek itu pembohong di dunia ini dia ingin negara islam tunduk dengan donal bebek donal bebek pembohong,"['jangan', 'maudamai', 'sama', 'donal', 'bebek', 'itu', 'pembohong', 'di', 'dunia', 'ini', 'dia', 'ingin', 'negara', 'islam', 'tunduk', 'dengan', 'donal', 'bebek', 'donal', 'bebek', 'pembohong']",maudamai donald bebek pembohong dunia negara islam tunduk donald bebek donald bebek pembohong
Isreal anjing,Isreal anjing,isreal anjing,isreal anjing,"['isreal', 'anjing']",isreal anjing
Lenyaplah semua penjajah  israel amerika  sampai daratan pentagon berjihad  memusnahkan penjajah biadab,Lenyaplah semua penjajah  israel amerika  sampai daratan pentagon berjihad  memusnahkan penjajah biadab,lenyaplah semua penjajah  israel amerika  sampai daratan pentagon berjihad  memusnahkan penjajah biadab,lenyaplah semua penjajah israel amerika sampai daratan pentagon berjihad memusnahkan penjajah biadab,"['lenyaplah', 'semua', 'penjajah', 'israel', 'amerika', 'sampai', 'daratan', 'pentagon', 'berjihad', 'memusnahkan', 'penjajah', 'biadab']",lenyaplah penjajah israel amerika daratan pentagon berjihad memusnahkan penjajah biadab
Donald 💩taik,Donald taik,donald taik,donald tahi,"['donald', 'tahi']",donald tahi
Donald ni taik,Donald ni taik,donald ni taik,donald nih tahi,"['donald', 'nih', 'tahi']",donald tahi
Tembak Kalau degal hantar rokit atau drom dua puluh drom,Tembak Kalau degal hantar rokit atau drom dua puluh drom,tembak kalau degal hantar rokit atau drom dua puluh drom,tembak kalau degal hantar rokit atau drom dua puluh drom,"['tembak', 'kalau', 'degal', 'hantar', 'rokit', 'atau', 'drom', 'dua', 'puluh', 'drom']",tembak degal hantar rokit drom puluh drom
Percuma perundingan dg America curangnya banyak .,Percuma perundingan dg America curangnya banyak ,percuma perundingan dg america curangnya banyak ,percuma perundingan dengan america curangnya banyak,"['percuma', 'perundingan', 'dengan', 'america', 'curangnya', 'banyak']",perundingan amerika curangnya
Sikat terus Israel usir dari palestina.,Sikat terus Israel usir dari palestina,sikat terus israel usir dari palestina,sikat terus israel usir dari palestina,"['sikat', 'terus', 'israel', 'usir', 'dari', 'palestina']",sikat israel usir palestina
America sendiri produksi besar2 an,America sendiri produksi besar an,america sendiri produksi besar an,america sendiri produksi besar an,"['america', 'sendiri', 'produksi', 'besar', 'an']",amerika produksi an
"Menyala terus Iran pertahankan kedaulatan negara,  Cina ga takut sama Amerika terimakasih Cina dan Rusia Korut",Menyala terus Iran pertahankan kedaulatan negara  Cina ga takut sama Amerika terimakasih Cina dan Rusia Korut,menyala terus iran pertahankan kedaulatan negara  cina ga takut sama amerika terimakasih cina dan rusia korut,menyala terus iran pertahankan kedaulatan negara cina tidak takut sama amerika terimakasih cina dan rusia korut,"['menyala', 'terus', 'iran', 'pertahankan', 'kedaulatan', 'negara', 'cina', 'tidak', 'takut', 'sama', 'amerika', 'terimakasih', 'cina', 'dan', 'rusia', 'korut']",menyala iran pertahankan kedaulatan negara cina takut amerika terimakasih cina rusia korut
Donal tram cuma gertak sambal terasi takut pedis.donal tram,Donal tram cuma gertak sambal terasi takut pedisdonal tram,donal tram cuma gertak sambal terasi takut pedisdonal tram,donal tram cuma gertak sambal terasi takut pedisdonal tram,"['donal', 'tram', 'cuma', 'gertak', 'sambal', 'terasi', 'takut', 'pedisdonal', 'tram']",donald trump gertak sambal terasi takut pedisdonal trump
"IRAN DI EMBARGO 45 TAHUN MASIH BISA MAKAN KENYANG, SELAT HORMUS DITUTUP SEMINGGU AS KELAPARAN DAN KELABAKAN.",IRAN DI EMBARGO  TAHUN MASIH BISA MAKAN KENYANG SELAT HORMUS DITUTUP SEMINGGU AS KELAPARAN DAN KELABAKAN,iran di embargo  tahun masih bisa makan kenyang selat hormus ditutup seminggu as kelaparan dan kelabakan,iran di embargo tahun masih bisa makan kenyang selat hormus ditutup seminggu as kelaparan dan kelabakan,"['iran', 'di', 'embargo', 'tahun', 'masih', 'bisa', 'makan', 'kenyang', 'selat', 'hormus', 'ditutup', 'seminggu', 'as', 'kelaparan', 'dan', 'kelabakan']",iran embargo makan kenyang selat hormuz ditutup seminggu amerika serikat kelaparan kelabakan
Manusia iblis. Warga civil d tembakin ??? 😢 Mereka Tdak bersenjata.. 😠,Manusia iblis Warga civil d tembakin   Mereka Tdak bersenjata ,manusia iblis warga civil d tembakin   mereka tdak bersenjata ,manusia iblis warga civil di tembakin mereka tidak bersenjata,"['manusia', 'iblis', 'warga', 'civil', 'di', 'tembakin', 'mereka', 'tidak', 'bersenjata']",manusia iblis warga civil tembakin bersenjata
"Pembantu israel itu  susah untuk berbuat adil. Israel  diperbolehkan mempunyai nuklir, padahal israel itu adalah biang kerok semua masalah di timur tengah sampai saat ini, dan israel itu adalah pembunuh dan penjajah yang sombong dimuka bumi ini, israel itu pembantai warga palestina warga Gaza, tapi as melindungi israel itu",Pembantu israel itu  susah untuk berbuat adil Israel  diperbolehkan mempunyai nuklir padahal israel itu adalah biang kerok semua masalah di timur tengah sampai saat ini dan israel itu adalah pembunuh dan penjajah yang sombong dimuka bumi ini israel itu pembantai warga palestina warga Gaza tapi as melindungi israel itu,pembantu israel itu  susah untuk berbuat adil israel  diperbolehkan mempunyai nuklir padahal israel itu adalah biang kerok semua masalah di timur tengah sampai saat ini dan israel itu adalah pembunuh dan penjajah yang sombong dimuka bumi ini israel itu pembantai warga palestina warga gaza tapi as melindungi israel itu,pembantu israel itu susah untuk berbuat adil israel diperbolehkan mempunyai nuklir padahal israel itu adalah biang kerok semua masalah di timur tengah sampai saat ini dan israel itu adalah pembunuh dan penjajah yang sombong dimuka bumi ini israel itu pembantai warga palestina warga gaza tapi as melindungi israel itu,"['pembantu', 'israel', 'itu', 'susah', 'untuk', 'berbuat', 'adil', 'israel', 'diperbolehkan', 'mempunyai', 'nuklir', 'padahal', 'israel', 'itu', 'adalah', 'biang', 'kerok', 'semua', 'masalah', 'di', 'timur', 'tengah', 'sampai', 'saat', 'ini', 'dan', 'israel', 'itu', 'adalah', 'pembunuh', 'dan', 'penjajah', 'yang', 'sombong', 'dimuka', 'bumi', 'ini', 'israel', 'itu', 'pembantai', 'warga', 'palestina', 'warga', 'gaza', 'tapi', 'as', 'melindungi', 'israel', 'itu']",pembantu israel susah berbuat adil israel diperbolehkan nuklir israel biang kerok timur israel pembunuh penjajah sombong dimuka bumi israel pembantai warga palestina warga gaza amerika serikat melindungi israel
Kpl as Israel hancurkan jangan takut sloh bersamanu,Kpl as Israel hancurkan jangan takut sloh bersamanu,kpl as israel hancurkan jangan takut sloh bersamanu,kpl as israel hancurkan jangan takut sloh bersamanu,"['kpl', 'as', 'israel', 'hancurkan', 'jangan', 'takut', 'sloh', 'bersamanu']",kpl amerika serikat israel hancurkan takut sloh bersamanu
Amerika udh g punya kotoran binatang .alias kepercayaan,Amerika udh g punya kotoran binatang alias kepercayaan,amerika udh g punya kotoran binatang alias kepercayaan,amerika sudah tidak punya kotoran binatang alias kepercayaan,"['amerika', 'sudah', 'tidak', 'punya', 'kotoran', 'binatang', 'alias', 'kepercayaan']",amerika kotoran binatang alias kepercayaan
Donal bebek  alias trum udh gila sinting udh setres otaknya udh g waras,Donal bebek  alias trum udh gila sinting udh setres otaknya udh g waras,donal bebek  alias trum udh gila sinting udh setres otaknya udh g waras,donal bebek alias trum sudah gila sinting sudah setres otaknya sudah tidak waras,"['donal', 'bebek', 'alias', 'trum', 'sudah', 'gila', 'sinting', 'sudah', 'setres', 'otaknya', 'sudah', 'tidak', 'waras']",donald bebek alias trump gila sinting setres otaknya waras
Negaea paling menyibuk....,Negaea paling menyibuk,negaea paling menyibuk,negaea paling menyibuk,"['negaea', 'paling', 'menyibuk']",negaea menyibuk
"Memang berani AS melawan cina,? Lawan Iran saja kocar kacir kok mau melawan cina, dasar Donal bebek,!",Memang berani AS melawan cina Lawan Iran saja kocar kacir kok mau melawan cina dasar Donal bebek,memang berani as melawan cina lawan iran saja kocar kacir kok mau melawan cina dasar donal bebek,memang berani as melawan cina lawan iran saja kocar kacir kok mau melawan cina dasar donal bebek,"['memang', 'berani', 'as', 'melawan', 'cina', 'lawan', 'iran', 'saja', 'kocar', 'kacir', 'kok', 'mau', 'melawan', 'cina', 'dasar', 'donal', 'bebek']",berani amerika serikat melawan cina lawan iran kocar kacir melawan cina dasar donald bebek
"Iran...ajak keja sama itu kartel"" yg ada di Mexico, veneswela, Kuba utk menghajar Donal bebek & sekutunya ( terutama Mamarica agar kedua org gila ini dimusnahkan rakyatnya sendiri ...agar cepat lengser )🔥🙏",Iranajak keja sama itu kartel yg ada di Mexico veneswela Kuba utk menghajar Donal bebek  sekutunya  terutama Mamarica agar kedua org gila ini dimusnahkan rakyatnya sendiri agar cepat lengser ,iranajak keja sama itu kartel yg ada di mexico veneswela kuba utk menghajar donal bebek  sekutunya  terutama mamarica agar kedua org gila ini dimusnahkan rakyatnya sendiri agar cepat lengser ,iranajak keja sama itu kartel yang ada di mexico veneswela kuba untuk menghajar donal bebek sekutunya terutama mamarica agar kedua orang gila ini dimusnahkan rakyatnya sendiri agar cepat lengser,"['iranajak', 'keja', 'sama', 'itu', 'kartel', 'yang', 'ada', 'di', 'mexico', 'veneswela', 'kuba', 'untuk', 'menghajar', 'donal', 'bebek', 'sekutunya', 'terutama', 'mamarica', 'agar', 'kedua', 'orang', 'gila', 'ini', 'dimusnahkan', 'rakyatnya', 'sendiri', 'agar', 'cepat', 'lengser']",iranajak keja kartel mexico veneswela kuba menghajar donald bebek sekutunya mamarica gila dimusnahkan rakyatnya cepat lengser
Israel msh aja nembakin palestine pdhl negaranya sedang perang dgn Iran...smg Iran benar3 bisa membumi hanguskan Israel yg kejam dan teroris dunia,Israel msh aja nembakin palestine pdhl negaranya sedang perang dgn Iransmg Iran benar bisa membumi hanguskan Israel yg kejam dan teroris dunia,israel msh aja nembakin palestine pdhl negaranya sedang perang dgn iransmg iran benar bisa membumi hanguskan israel yg kejam dan teroris dunia,israel masih saja nembakin palestine padahal negaranya sedang perang dengan iransmg iran benar bisa membumi hanguskan israel yang kejam dan teroris dunia,"['israel', 'masih', 'saja', 'nembakin', 'palestine', 'padahal', 'negaranya', 'sedang', 'perang', 'dengan', 'iransmg', 'iran', 'benar', 'bisa', 'membumi', 'hanguskan', 'israel', 'yang', 'kejam', 'dan', 'teroris', 'dunia']",israel nembakin palestine negaranya perang iransmg iran membumi hanguskan israel kejam teroris dunia
"Begitupun gencatan senjata iran -as, tidak termasuk israel",Begitupun gencatan senjata iran as tidak termasuk israel,begitupun gencatan senjata iran as tidak termasuk israel,begitupun gencatan senjata iran as tidak termasuk israel,"['begitupun', 'gencatan', 'senjata', 'iran', 'as', 'tidak', 'termasuk', 'israel']",gencatan senjata iran amerika serikat israel
How long the world will keep quite to american terrorism....,How long the world will keep quite to american terrorism,how long the world will keep quite to american terrorism,how long the world will keep quite tapi american terrorism,"['how', 'long', 'the', 'world', 'will', 'keep', 'quite', 'tapi', 'american', 'terrorism']",how long world will keep quite american terrorism
Tenggelamkan kapal Amerika dan sekutunya jangan kasih ampun.,Tenggelamkan kapal Amerika dan sekutunya jangan kasih ampun,tenggelamkan kapal amerika dan sekutunya jangan kasih ampun,tenggelamkan kapal amerika dan sekutunya jangan kasih ampun,"['tenggelamkan', 'kapal', 'amerika', 'dan', 'sekutunya', 'jangan', 'kasih', 'ampun']",tenggelamkan kapal amerika sekutunya kasih ampun
Donald trump itu manusia berontak🐷🐷🐷🐷 babi,Donald trump itu manusia berontak babi,donald trump itu manusia berontak babi,donald trump itu manusia berontak babi,"['donald', 'trump', 'itu', 'manusia', 'berontak', 'babi']",donald trump manusia berontak babi
Ancaman Donald bebek itu bak kentut disiang hari.,Ancaman Donald bebek itu bak kentut disiang hari,ancaman donald bebek itu bak kentut disiang hari,ancaman donald bebek itu bak kentut disiang hari,"['ancaman', 'donald', 'bebek', 'itu', 'bak', 'kentut', 'disiang', 'hari']",ancaman donald bebek bak kentut disiang
Hanya lndonesia yang mahu berteman dan bersekutu dengan AS dan lsrael...negara lain semua sudah mulai menjauh.,Hanya lndonesia yang mahu berteman dan bersekutu dengan AS dan lsraelnegara lain semua sudah mulai menjauh,hanya lndonesia yang mahu berteman dan bersekutu dengan as dan lsraelnegara lain semua sudah mulai menjauh,hanya lndonesia yang mahu berteman dan bersekutu dengan as dan lsraelnegara lain semua sudah mulai menjauh,"['hanya', 'lndonesia', 'yang', 'mahu', 'berteman', 'dan', 'bersekutu', 'dengan', 'as', 'dan', 'lsraelnegara', 'lain', 'semua', 'sudah', 'mulai', 'menjauh']",lndonesia mahu berteman bersekutu amerika serikat lsraelnegara menjauh
"Pak Prabowo perintahka TNI dukun Iran karena Amerika melangga konstitusi PBB.
Semoga Amerrika dikucilkan dunia dan dihapus dari peta duni gempur pasukan PBB seluruh dunia.","Pak Prabowo perintahka TNI dukun Iran karena Amerika melangga konstitusi PBB
Semoga Amerrika dikucilkan dunia dan dihapus dari peta duni gempur pasukan PBB seluruh dunia","pak prabowo perintahka tni dukun iran karena amerika melangga konstitusi pbb
semoga amerrika dikucilkan dunia dan dihapus dari peta duni gempur pasukan pbb seluruh dunia",pak prabowo perintahka tni dukun iran karena amerika melangga konstitusi pbb semoga amerrika dikucilkan dunia dan dihapus dari peta duni gempur pasukan pbb seluruh dunia,"['pak', 'prabowo', 'perintahka', 'tni', 'dukun', 'iran', 'karena', 'amerika', 'melangga', 'konstitusi', 'pbb', 'semoga', 'amerrika', 'dikucilkan', 'dunia', 'dan', 'dihapus', 'dari', 'peta', 'duni', 'gempur', 'pasukan', 'pbb', 'seluruh', 'dunia']",prabowo perintahka tni dukun iran amerika melangga konstitusi pbb semoga amerrika dikucilkan dunia dihapus peta duni gempur pasukan pbb dunia
"Alhamdulillah Iran melawan arogansi Amerika.
Semoga Alloh selalu mberikan kuatan dan perlidungan  terhadap negara Iran dan pendukung Iran serta negara muslim seluruh dunia. Amin.","Alhamdulillah Iran melawan arogansi Amerika
Semoga Alloh selalu mberikan kuatan dan perlidungan  terhadap negara Iran dan pendukung Iran serta negara muslim seluruh dunia Amin","alhamdulillah iran melawan arogansi amerika
semoga alloh selalu mberikan kuatan dan perlidungan  terhadap negara iran dan pendukung iran serta negara muslim seluruh dunia amin",alhamdulillah iran melawan arogansi amerika semoga allah selalu mberikan kuatan dan perlidungan terhadap negara iran dan pendukung iran serta negara muslim seluruh dunia amin,"['alhamdulillah', 'iran', 'melawan', 'arogansi', 'amerika', 'semoga', 'allah', 'selalu', 'mberikan', 'kuatan', 'dan', 'perlidungan', 'terhadap', 'negara', 'iran', 'dan', 'pendukung', 'iran', 'serta', 'negara', 'muslim', 'seluruh', 'dunia', 'amin']",alhamdulillah iran melawan arogansi amerika semoga allah mberikan kuatan perlidungan negara iran pendukung iran negara muslim dunia amin
"Tembak sj iran kapal Amerika itu biar mampus dan tenggelam. Tembak kapal yg melanggar tenggekamkan, , si mulut sampah Trump bau busuk. Allahu Akbar..",Tembak sj iran kapal Amerika itu biar mampus dan tenggelam Tembak kapal yg melanggar tenggekamkan  si mulut sampah Trump bau busuk Allahu Akbar,tembak sj iran kapal amerika itu biar mampus dan tenggelam tembak kapal yg melanggar tenggekamkan  si mulut sampah trump bau busuk allahu akbar,tembak saja iran kapal amerika itu biar mampus dan tenggelam tembak kapal yang melanggar tenggekamkan sih mulut sampah trump bau busuk allahu akbar,"['tembak', 'saja', 'iran', 'kapal', 'amerika', 'itu', 'biar', 'mampus', 'dan', 'tenggelam', 'tembak', 'kapal', 'yang', 'melanggar', 'tenggekamkan', 'sih', 'mulut', 'sampah', 'trump', 'bau', 'busuk', 'allahu', 'akbar']",tembak iran kapal amerika biar mampus tenggelam tembak kapal melanggar tenggekamkan mulut sampah trump bau busuk allahu akbar
"BABI ZIONUS HANYA BERANI DGN ORANG AWAM
PUAK LAKNATULLAH YG PENGECUT","BABI ZIONUS HANYA BERANI DGN ORANG AWAM
PUAK LAKNATULLAH YG PENGECUT","babi zionus hanya berani dgn orang awam
puak laknatullah yg pengecut",babi zionus hanya berani dengan orang awam puak laknatullah yang pengecut,"['babi', 'zionus', 'hanya', 'berani', 'dengan', 'orang', 'awam', 'puak', 'laknatullah', 'yang', 'pengecut']",babi zionus berani awam puak laknatullah pengecut
Zionis mwmang babi bangsat.zionis wajib dihancurkn dari muka bumi,Zionis mwmang babi bangsatzionis wajib dihancurkn dari muka bumi,zionis mwmang babi bangsatzionis wajib dihancurkn dari muka bumi,zionis mwmang babi bangsatzionis wajib dihancurkn dari muka bumi,"['zionis', 'mwmang', 'babi', 'bangsatzionis', 'wajib', 'dihancurkn', 'dari', 'muka', 'bumi']",zionis mwmang babi bangsatzionis wajib dihancurkn muka bumi
