Kata,Frekuensi
iran,1633
amerika,743
as,666
negara,557
israel,389
ya,361
kapal,361
trump,357
perang,307
dunia,291
selat,276
orang,206
hormuz,190
rudal,152
sih,146
donal,144
bebek,142
allah,138
minyak,131
langsung,124
indonesia,117
blokade,114
bravo,111
berani,103
gila,95
penjajah,93
nuklir,92
senjata,92
semoga,91
biar,88
china,88
donald,88
lawan,86
rakyat,84
zionis,83
takut,82
hancur,81
trum,78
konoha,78
percaya,77
masuk,76
hormus,74
cina,72
usir,71
presiden,70
kalah,69
laut,68
wilayah,68
melawan,67
menang,66
berita,66
teroris,64
tram,64
buka,64
hancurkan,63
tembak,61
licik,61
malu,60
bangsa,59
tau,59
kayak,59
rusia,58
kasih,58
manusia,56
menyerang,55
islam,52
iblis,52
damai,52
mantap,50
mati,49
media,48
dasar,47
bikin,47
setan,46
pakai,46
amin,45
hoax,45
hak,44
pemimpin,44
tutup,43
serang,43
timur,43
irgc,42
rezim,42
bumi,41
gencatan,41
us,40
tunduk,39
ekonomi,39
akbar,38
bom,38
allahuakbar,37
omon,37
kali,36
sok,36
serikat,36
coba,36
perusak,36
ayo,35
musuh,34
kau,34
warga,34
pasukan,34
muka,34
hidup,34
lihat,34
penjahat,33
pbb,33
harga,33
kekuatan,33
habis,33
peringatan,33
cari,33
allahu,32
mulut,32
bodoh,32
hati,32
militer,31
tentara,31
banget,31
doang,31
internasional,31
suka,31
dipercaya,31
milik,30
hebat,30
mengapai,30
kuat,30
ancaman,28
america,28
muslim,28
mendukung,28
membuka,28
perampok,27
tipu,27
cepat,27
aman,27
swt,27
dibuka,27
biadab,26
nih,26
palestina,26
negosiasi,26
main,26
mamarika,26
menyerah,26
tv,26
pengecut,25
tuh,25
bilang,25
anak,24
mengatur,24
super,24
mu,24
n,24
memblokade,24
bohong,24
kedaulatan,23
sombong,23
negaranya,23
bantu,23
maju,23
diam,23
odgj,23
lanjutkan,23
tuhan,23
alasan,23
menguasai,23
prabowo,22
pikun,22
kemenangan,22
strategi,22
netanyahu,22
negeri,22
power,22
diusir,22
rakyatnya,21
yahudi,21
udara,21
kasihan,21
dajjal,21
sekutu,21
otak,21
janji,21
mata,21
preman,21
persia,20
sikat,20
arab,20
jalan,20
stres,20
trumpet,20
cuman,20
umat,20
serangan,20
tramp,20
syiah,20
kafir,19
amirika,19
kejahatan,19
kirim,19
serakah,19
menutup,19
lemah,19
penuh,19
ancam,19
mengusir,19
induk,19
hajar,19
israil,18
tanah,18
susah,18
the,18
tenggelamkan,18
rumah,18
bunuh,18
merampok,18
bacot,18
lebanon,18
venezuela,18
is,18
vs,18
oten,18
dirudal,18
ingkar,18
pembohong,17
membela,17
tua,17
kocak,17
darat,17
kena,17
anjing,16
perundingan,16
waras,16
sekutunya,16
gempur,16
ratakan,16
sakit,16
global,16
mengancam,16
bersatu,16
mundur,16
aneh,16
jahat,16
membunuh,16
ngancam,16
total,16
menembak,16
pikir,16
hasil,16
lucu,16
urusan,16
omong,16
selesai,16
munafik,16
hukum,16
daya,15
hanguskan,15
tenggelam,15
isriwil,15
adidaya,15
kuasa,15
bangkrut,15
libanon,15
irak,15
blokir,15
dukung,15
nato,15
teluk,15
bbm,15
apapun,15
mengomong,15
bicara,15
lu,15
lo,15
pengamat,15
kompas,15
akibat,14
mampus,14
melanggar,14
keroyok,14
agama,14
jiwa,14
tinggal,14
biarkan,14
allohuakbar,14
menjajah,14
menghancurkan,14
pengin,14
semangat,14
musnahkan,14
keras,14
angkatan,14
al,14
salah,14
lakukan,14
amrik,14
akal,14
turun,14
jalur,14
tukang,14
musnah,14
beli,14
jahanam,13
ditutup,13
busuk,13
namanya,13
setuju,13
mahal,13
perdamaian,13
nyata,13
bertindak,13
nya,13
koar,13
bagus,13
pro,13
uranium,13
sadar,13
pemerintah,13
fakta,13
untung,13
jago,13
mencari,13
nego,13
kemarin,13
kabur,13
mengikuti,12
intinya,12
korut,12
biang,12
ampun,12
wajib,12
sipil,12
kesepakatan,12
mudah,12
india,12
sesuai,12
kekacauan,12
omongan,12
genjatan,12
lenyap,12
kehancuran,12
waspada,12
masyarakat,12
you,12
target,12
pusing,12
metro,12
perairan,12
tuntutan,11
an,11
gertak,11
gaza,11
babi,11
laknatullah,11
habisi,11
a,11
tarif,11
suruh,11
bayar,11
mengaku,11
jual,11
diserang,11
bajingan,11
membawa,11
sedunia,11
tujuan,11
balas,11
berhak,11
parah,11
gara,11
mimpi,11
deh,11
rampok,11
kuasai,11
isrewel,11
silakan,11
drama,11
cerdas,11
keamanan,11
air,10
melindungi,10
pendukung,10
nutup,10
bantuan,10
berjuang,10
dimana,10
tindakan,10
lebur,10
pejabat,10
ulah,10
membantu,10
bangga,10
armada,10
merdeka,10
berhenti,10
dajal,10
kaum,10
keok,10
paham,10
kesombongan,10
kosong,10
taktik,10
korban,10
pilihan,10
pecundang,10
propaganda,10
doa,10
mah,10
sikap,10
politik,10
atur,10
perjanjian,10
setanyahu,10
tewas,10
kecuali,10
maha,10
kendor,10
menghadapi,10
kawasan,10
eh,10
minyaknya,10
ngusir,10
peta,9
kpl,9
merampas,9
terima,9
lenyapkan,9
and,9
kompak,9
jaman,9
love,9
dll,9
kacau,9
memiliki,9
campur,9
no,9
nak,9
trompet,9
kepala,9
best,9
halu,9
wal,9
modar,9
abal,9
enak,9
asu,9
miskin,9
mending,9
semena,9
uang,9
maling,9
beritanya,9
tempur,9
sehat,9
kekalahan,9
kebenaran,9
berdaulat,9
sumber,9
melewati,9
ku,9
rakus,9
kiamat,9
bajak,9
pelabuhan,9
tangan,9
mental,9
entar,9
posisi,8
tahi,8
setres,8
alhamdulillah,8
sampah,8
maunya,8
cocok,8
giliran,8
beda,8
tolol,8
seru,8
krisis,8
tangkap,8
drone,8
hadapi,8
menenggelamkan,8
kapalkapal,8
kepentingan,8
dikit,8
balistik,8
sulit,8
kah,8
video,8
alam,8
jadikan,8
putar,8
sengaja,8
duluan,8
pakistan,8
ikutan,8
sesungguhnya,8
nurut,8
menekan,8
indak,8
dengar,8
memalukan,8
tolong,8
barat,8
gue,8
komentar,8
niat,8
bop,8
keren,8
one,8
bertahan,8
cerita,8
pintar,8
rusak,8
ditembak,8
tentera,7
penipu,7
bersenjata,7
adil,7
otaknya,7
tni,7
bau,7
si,7
sabar,7
insyaallah,7
pertahanan,7
habisan,7
contoh,7
dipimpin,7
president,7
babak,7
tunggu,7
alat,7
memilih,7
ganggu,7
ragu,7
lindungi,7
perjuangan,7
iri,7
bisanya,7
dilawan,7
memangnya,7
butuh,7
hai,7
dihancurkan,7
nama,7
eropa,7
duck,7
pesawat,7
terrorist,7
ran,7
sejarah,7
satunya,7
presidennya,7
ayam,7
kemanusiaan,7
mengaco,7
korea,7
utara,7
go,7
sekelas,7
hu,7
kebanyakan,7
abang,7
mengajak,7
ajar,7
terbuka,7
lupa,7
mengganggu,7
asisrael,7
trik,7
ber,7
gagal,7
mena,7
api,7
teriak,7
nyawa,7
pokoknya,7
kesempatan,7
barang,7
teram,7
menguntungkan,7
mengambil,7
dikuasai,7
narasi,7
ali,7
memaksa,7
memikirkan,7
terbaik,7
gas,7
kagak,7
kayaknya,7
gampang,7
hahaha,7
kecewa,7
langit,7
real,7
bebas,7
engkau,7
film,7
blok,7
berhasil,7
i,7
menghentikan,7
selam,7
boat,7
suara,7
aturan,6
kaki,6
embargo,6
makan,6
pembunuh,6
palestine,6
kelakuan,6
gertakan,6
panik,6
dah,6
sebentar,6
pangkalan,6
memasuki,6
tiada,6
rewel,6
salut,6
cs,6
muhammad,6
pulang,6
menangis,6
nabi,6
hamas,6
pantang,6
speedboat,6
tentram,6
asli,6
menderita,6
kristen,6
diancam,6
tenang,6
putih,6
goblok,6
sungguh,6
syarat,6
kapalnya,6
kapok,6
layak,6
kerja,6
situasi,6
siasat,6
bencana,6
tida,6
ranjau,6
aduh,6
syahid,6
belur,6
kenyataan,6
kakek,6
berubah,6
arogan,6
neraka,6
budak,6
bingung,6
menjaga,6
melenyapkan,6
jet,6
ngawur,6
marah,6
melarang,6
kekayaan,6
wowo,6
polisi,6
turunkan,6
cocot,6
pencuri,6
benarbenar,6
darah,6
jam,6
nasional,6
sang,6
kadrun,6
ribut,6
ngibul,6
berkuasa,6
dibunuh,6
hilang,6
kaleng,6
berharap,6
hormos,6
ajak,6
bohongi,6
berbohong,6
hurmuz,6
akalan,6
penguasa,6
pergi,6
sayang,6
berjalan,6
pelanggaran,6
salam,6
militernya,6
diblokade,6
bosan,6
gunanya,6
keroyokan,6
tanker,6
menonton,6
satupun,6
berunding,6
gedung,6
transit,6
abu,6
telak,6
lindungilah,6
pura,6
penyembah,5
dukungan,5
produksi,5
kelaparan,5
kerok,5
binatang,5
alias,5
menghajar,5
mahu,5
kembangkan,5
gentar,5
tunjukkan,5
latihan,5
diplomasi,5
dibumi,5
terbukti,5
kemana,5
berdaya,5
sifat,5
omongannya,5
keluarkan,5
tentaranya,5
tekan,5
wajar,5
mayoritas,5
penakut,5
menantang,5
pengikut,5
sda,5
yaman,5
pemimpinnya,5
jatuh,5
tarik,5
celah,5
membiarkan,5
malaysia,5
we,5
hormoz,5
palsu,5
curang,5
berusaha,5
berdamai,5
wa,5
ambil,5
pengacau,5
lancar,5
zaman,5
bego,5
izin,5
nk,5
didunia,5
banci,5
merugikan,5
lapangan,5
orangorang,5
tanda,5
donalbebek,5
buktikan,5
trumph,5
om,5
berguna,5
sunni,5
aba,5
makzulkan,5
biaya,5
sial,5
luncurkan,5
suriah,5
idiot,5
ok,5
keuntungan,5
batu,5
titik,5
sepenuhnya,5
takbir,5
out,5
ide,5
pakar,5
cadangan,5
berpikir,5
normal,5
juru,5
nyali,5
bersamamu,5
raja,5
ah,5
listrik,5
pas,5
berbeda,5
berperang,5
antek,5
lengah,5
bocah,5
pernyataan,5
nipu,5
negaranegara,5
repot,5
besok,5
informasi,5
lindungan,5
diperingatkan,5
keturunan,5
kendali,5
lintas,5
bisnis,5
situ,5
bombardir,5
runtuh,5
rugi,5
sibuk,5
peluang,5
program,5
ngeri,5
tahan,5
ngebom,5
stop,5
berhadapan,5
negoisasi,5
pejuang,5
jonis,5
hurmus,5
belajar,5
rebut,5
menunggu,5
reporter,5
tekanan,5
memblokir,5
ciut,5
kerusakan,5
alamin,5
berdiri,5
pikirkan,5
wkwk,5
paksa,5
rame,5
saudi,5
logika,5
lari,5
speed,5
badut,5
heran,5
ajaran,5
adi,5
iya,5
destroyer,5
kanal,5
ussc,5
permanen,4
bersekutu,4
olah,4
doyan,4
assalamualaikum,4
angkat,4
isi,4
pertahankan,4
sambal,4
sinting,4
kentut,4
dukun,4
beraninya,4
sirewel,4
asia,4
pimpinan,4
pajak,4
injak,4
sokan,4
kerjasama,4
sadam,4
elit,4
sia,4
persiden,4
dikasih,4
keadilan,4
buktinya,4
haram,4
menimbulkan,4
apanya,4
kedamaian,4
congor,4
picik,4
pikiran,4
miliknya,4
jajah,4
pilih,4
faktanya,4
terkuat,4
tetangga,4
larang,4
langkah,4
efektif,4
dianggap,4
balasan,4
bla,4
war,4
ngotot,4
dalih,4
warning,4
lumpuh,4
bawa,4
pm,4
sedikitpun,4
bela,4
peralatan,4
benci,4
fitnah,4
menepati,4
pengayaan,4
bohongnya,4
palestin,4
seenak,4
mengembangkan,4
ummat,4
koyo,4
dog,4
big,4
benua,4
menit,4
surga,4
meluas,4
andai,4
kawan,4
buta,4
terangan,4
kabut,4
lucunya,4
modal,4
dibilang,4
pemerasan,4
israhell,4
ai,4
resah,4
sebenar,4
terserah,4
poin,4
seharus,4
ubah,4
penduduk,4
news,4
senang,4
tol,4
mulu,4
irang,4
ta,4
sukses,4
jionis,4
jaga,4
kabel,4
diatur,4
hayo,4
info,4
penyerangan,4
binasa,4
memenuhi,4
obat,4
zionist,4
malunya,4
ulang,4
maksudnya,4
permintaan,4
siaga,4
detik,4
mbak,4
rudalnya,4
efek,4
harapan,4
baiknya,4
kak,4
etika,4
onta,4
mengoceh,4
kaya,4
menolong,4
mendikte,4
anti,4
mikir,4
murka,4
slat,4
psikopat,4
berbahaya,4
solusi,4
good,4
khamenei,4
knapa,4
menangkan,4
awas,4
jebakan,4
prang,4
rencana,4
selagi,4
murah,4
atom,4
jaya,4
terang,4
melintas,4
iranian,4
mainan,4
membuktikan,4
berkhianat,4
tanggung,4
ucapan,4
capek,4
pegang,4
malaka,4
asing,4
pengaruh,4
aset,4
ciri,4
kehilangan,4
tengker,4
permainan,4
navy,4
haha,4
buang,4
gede,4
ribet,4
mengusai,4
menlu,4
laku,4
saudara,4
timteng,4
berlanjut,4
onar,4
bismillah,4
dipaksa,4
manapun,4
sangsi,4
doktrin,4
he,4
lengkap,4
komentator,4
deal,4
ancurkan,4
pembukaan,4
ditentukan,4
pekerjaan,4
duga,4
lebar,4
gangguan,4
perangi,4
tidur,4
mendengar,4
hancurrr,4
kesulitan,4
agresor,4
yes,4
terpaksa,4
seakan,4
nyerah,4
mengomongnya,4
rawe,4
malang,4
presstv,4
berhati,4
kubur,4
kejang,4
kelas,4
loh,4
disuruh,4
gaduh,4
suni,4
lho,4
lsrael,4
gunting,4
sejati,4
daerah,4
peluru,4
kunjung,4
patut,4
uni,4
t,4
dengki,4
rekaman,4
adab,4
melimpah,4
perjalanan,4
