author,comment,likes,published_at
@ezraalviano-gn2wt,"jika dunia isi  pngghuninya baik dan punya rasa prikmanusiaan,.bangunlah belalah mreka yg brada di posisi yg bnar di,.jangan takut mati jika dmi untuk pradaban kmanusiaan",0,2026-04-18T07:20:18Z
@ezraalviano-gn2wt,dasar iblis trlau banyak mnghayal,0,2026-04-18T07:10:18Z
@Bambang12-f3d,Jangan maudamai sama Donal bebek itu pembohong di dunia ini. Dia ingin negara Islam tunduk dengan Donal bebek. Donal bebek pembohong?.............,0,2026-04-18T06:22:44Z
@takyozawa,Isreal anjing,0,2026-04-17T16:44:29Z
@KebumenBae-e6p,Lenyaplah semua penjajah  israel amerika  sampai daratan pentagon berjihad  memusnahkan penjajah biadab,0,2026-04-17T15:53:21Z
@khaidarkhaidarkhaidarkhaidar,Donald 💩taik,0,2026-04-17T13:58:52Z
@khaidarkhaidarkhaidarkhaidar,Donald ni taik,0,2026-04-17T13:57:02Z
@khaidarkhaidarkhaidarkhaidar,Atau kau yang masalah besar,0,2026-04-17T13:55:52Z
@khaidarkhaidarkhaidarkhaidar,Cina akan masalah besar 😂,0,2026-04-17T13:54:12Z
@mohamedaminsulaiman6281,Tembak Kalau degal hantar rokit atau drom dua puluh drom,0,2026-04-17T13:34:26Z
@FriskaDolot,Percuma perundingan dg America curangnya banyak .,0,2026-04-17T12:02:07Z
@FriskaDolot,Sikat terus Israel usir dari palestina.,0,2026-04-17T11:59:53Z
@FriskaDolot,America sendiri produksi besar2 an,0,2026-04-17T11:59:14Z
@CucupSupiyana,"Menyala terus Iran pertahankan kedaulatan negara,  Cina ga takut sama Amerika terimakasih Cina dan Rusia Korut",0,2026-04-17T11:52:58Z
@FriskaDolot,Donal tram cuma gertak sambal terasi takut pedis.donal tram,0,2026-04-17T11:52:40Z
@ellz-j9q,"IRAN DI EMBARGO 45 TAHUN MASIH BISA MAKAN KENYANG, SELAT HORMUS DITUTUP SEMINGGU AS KELAPARAN DAN KELABAKAN.",0,2026-04-17T11:18:20Z
@HeavyMetalman-d6s,Manusia iblis. Warga civil d tembakin ??? 😢 Mereka Tdak bersenjata.. 😠,0,2026-04-17T09:28:32Z
@nurmasehatuasamu3079,Iran ❤❤,0,2026-04-17T09:14:13Z
@Usherlovesthecolourred,"Pembantu israel itu  susah untuk berbuat adil. Israel  diperbolehkan mempunyai nuklir, padahal israel itu adalah biang kerok semua masalah di timur tengah sampai saat ini, dan israel itu adalah pembunuh dan penjajah yang sombong dimuka bumi ini, israel itu pembantai warga palestina warga Gaza, tapi as melindungi israel itu",0,2026-04-17T08:51:15Z
@AbdulAjis-h6g,Kpl as Israel hancurkan jangan takut sloh bersamanu,0,2026-04-17T08:04:26Z
@SarlanErlan,Amerika udh g punya kotoran binatang .alias kepercayaan,0,2026-04-17T06:25:35Z
